IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.122.55,8443,8443,true,HKG,Asia Pacific,Hong Kong,115,13.04
47.245.55.94,2095,2095,false,NRT,Asia Pacific,Tokyo,75,13.03
8.218.136.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,13.02
47.237.19.161,8443,8443,true,SIN,Asia Pacific,Singapore,125,13.02
8.219.253.185,8080,8080,false,SIN,Asia Pacific,Singapore,21,13.02
8.219.82.35,2052,2052,false,SIN,Asia Pacific,Singapore,4,13.02
47.74.34.135,2052,2052,false,NRT,Asia Pacific,Tokyo,103,13.02
47.74.12.139,2053,2053,true,NRT,Asia Pacific,Tokyo,146,13.02
47.236.192.198,2096,2096,true,SIN,Asia Pacific,Singapore,111,13.02
47.236.172.95,8443,8443,true,HKG,Asia Pacific,Hong Kong,171,13.02
47.236.94.109,8443,8443,true,SIN,Asia Pacific,Singapore,67,13.01
47.245.58.175,2083,2083,true,NRT,Asia Pacific,Tokyo,290,13.01
8.222.164.44,2082,2082,false,SIN,Asia Pacific,Singapore,9,13.01
47.245.30.208,2096,2096,true,NRT,Asia Pacific,Tokyo,345,13.01
47.236.97.90,2082,2082,false,SIN,Asia Pacific,Singapore,17,13.01
47.236.96.141,2083,2083,true,SIN,Asia Pacific,Singapore,99,13.01
47.236.71.226,2052,2052,false,SIN,Asia Pacific,Singapore,30,13.01
8.219.106.156,8080,8080,false,HKG,Asia Pacific,Hong Kong,37,13.00
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,12,13.00
47.236.78.57,8443,8443,true,SIN,Asia Pacific,Singapore,80,13.00
8.222.224.17,2052,2052,false,SIN,Asia Pacific,Singapore,24,13.00
47.236.146.249,443,443,true,SIN,Asia Pacific,Singapore,109,13.00
8.222.168.155,80,80,false,SIN,Asia Pacific,Singapore,19,13.00
8.219.241.189,80,80,false,SIN,Asia Pacific,Singapore,30,12.99
8.222.137.178,2082,2082,false,SIN,Asia Pacific,Singapore,20,12.99
8.219.140.229,443,443,true,SIN,Asia Pacific,Singapore,76,12.99
47.74.52.104,80,80,false,NRT,Asia Pacific,Tokyo,97,12.99
47.236.193.208,2082,2082,false,SIN,Asia Pacific,Singapore,42,12.99
47.236.97.111,2095,2095,false,SIN,Asia Pacific,Singapore,11,12.99
47.236.106.234,8443,8443,true,SIN,Asia Pacific,Singapore,97,12.99
8.222.180.86,2083,2083,true,SIN,Asia Pacific,Singapore,52,12.98
8.219.56.205,2052,2052,false,SIN,Asia Pacific,Singapore,16,12.98
47.236.175.189,80,80,false,SIN,Asia Pacific,Singapore,36,12.98
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,4,12.98
47.74.16.255,80,80,false,NRT,Asia Pacific,Tokyo,296,12.98
47.236.65.177,2095,2095,false,SIN,Asia Pacific,Singapore,27,12.97
8.218.207.169,8443,8443,true,HKG,Asia Pacific,Hong Kong,96,12.97
8.219.82.35,2086,2086,false,SIN,Asia Pacific,Singapore,7,12.97
47.74.13.239,8080,8080,false,NRT,Asia Pacific,Tokyo,83,12.96
47.74.41.136,8443,8443,true,NRT,Asia Pacific,Tokyo,282,12.96
47.236.88.134,8443,8443,true,SIN,Asia Pacific,Singapore,64,12.96
8.219.113.232,2083,2083,true,SIN,Asia Pacific,Singapore,154,12.96
8.219.167.113,2053,2053,true,SIN,Asia Pacific,Singapore,147,12.96
47.236.97.111,2053,2053,true,SIN,Asia Pacific,Singapore,115,12.96
8.219.63.66,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,12.96
8.222.221.197,2095,2095,false,SIN,Asia Pacific,Singapore,7,12.96
8.218.188.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,12.96
8.222.244.123,2053,2053,true,SIN,Asia Pacific,Singapore,31,12.95
47.74.4.47,8443,8443,true,NRT,Asia Pacific,Tokyo,380,12.95
8.219.167.65,2087,2087,true,SIN,Asia Pacific,Singapore,68,12.95
47.236.103.153,2053,2053,true,SIN,Asia Pacific,Singapore,73,12.95
8.219.77.222,2087,2087,true,SIN,Asia Pacific,Singapore,96,12.94
8.222.145.164,2096,2096,true,HKG,Asia Pacific,Hong Kong,124,12.94
8.219.92.89,2087,2087,true,SIN,Asia Pacific,Singapore,81,12.94
8.219.196.24,2087,2087,true,SIN,Asia Pacific,Singapore,133,12.94
8.222.133.247,2053,2053,true,SIN,Asia Pacific,Singapore,104,12.94
8.219.147.58,2096,2096,true,SIN,Asia Pacific,Singapore,89,12.94
8.222.212.116,8880,8880,false,SIN,Asia Pacific,Singapore,4,12.94
47.74.26.131,2087,2087,true,NRT,Asia Pacific,Tokyo,106,12.93
47.245.113.12,2095,2095,false,SIN,Asia Pacific,Singapore,5,12.93
47.74.27.151,2082,2082,false,NRT,Asia Pacific,Tokyo,70,12.93
8.219.53.142,8080,8080,false,SIN,Asia Pacific,Singapore,5,12.93
8.219.255.171,2052,2052,false,SIN,Asia Pacific,Singapore,33,12.93
8.219.161.129,2095,2095,false,SIN,Asia Pacific,Singapore,16,12.93
8.219.82.35,443,443,true,SIN,Asia Pacific,Singapore,133,12.93
47.245.29.64,2096,2096,true,NRT,Asia Pacific,Tokyo,96,12.92
8.222.141.240,2096,2096,true,SIN,Asia Pacific,Singapore,105,12.92
8.219.171.6,2087,2087,true,SIN,Asia Pacific,Singapore,122,12.92
47.74.26.131,8443,8443,true,NRT,Asia Pacific,Tokyo,359,12.92
8.219.51.211,2052,2052,false,SIN,Asia Pacific,Singapore,12,12.92
47.245.115.6,2095,2095,false,SIN,Asia Pacific,Singapore,5,12.92
8.222.249.98,2087,2087,true,SIN,Asia Pacific,Singapore,55,12.91
47.236.227.21,2053,2053,true,SIN,Asia Pacific,Singapore,101,12.91
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,16,12.91
47.245.57.38,2052,2052,false,SIN,Asia Pacific,Singapore,271,12.91
47.245.113.75,2052,2052,false,SIN,Asia Pacific,Singapore,4,12.90
47.236.125.4,8880,8880,false,SIN,Asia Pacific,Singapore,10,12.90
8.219.84.102,2087,2087,true,SIN,Asia Pacific,Singapore,91,12.90
8.222.188.56,2087,2087,true,SIN,Asia Pacific,Singapore,66,12.90
47.245.12.38,8880,8880,false,NRT,Asia Pacific,Tokyo,187,12.90
47.236.168.17,80,80,false,SIN,Asia Pacific,Singapore,19,12.90
8.219.142.191,2096,2096,true,SIN,Asia Pacific,Singapore,99,12.89
8.219.142.229,2082,2082,false,SIN,Asia Pacific,Singapore,13,12.89
8.222.147.203,2087,2087,true,SIN,Asia Pacific,Singapore,137,12.89
47.236.109.115,2087,2087,true,SIN,Asia Pacific,Singapore,43,12.89
8.219.90.87,2052,2052,false,SIN,Asia Pacific,Singapore,9,12.89
47.236.161.110,8880,8880,false,SIN,Asia Pacific,Singapore,40,12.89
47.74.13.200,2082,2082,false,NRT,Asia Pacific,Tokyo,81,12.88
8.222.222.64,2087,2087,true,SIN,Asia Pacific,Singapore,89,12.88
8.219.4.122,2095,2095,false,SIN,Asia Pacific,Singapore,11,12.88
8.218.156.91,2096,2096,true,HKG,Asia Pacific,Hong Kong,111,12.88
47.245.33.163,8080,8080,false,NRT,Asia Pacific,Tokyo,118,12.87
8.222.214.13,2095,2095,false,SIN,Asia Pacific,Singapore,8,12.87
47.245.26.167,2083,2083,true,NRT,Asia Pacific,Tokyo,127,12.87
8.219.74.35,8880,8880,false,SIN,Asia Pacific,Singapore,38,12.86
